State,Population,Labor_Force,Employed,Unemployed,Employment_Rate,Unemployment_Rate,Median_Income,Median_Home_Value,Bachelors,Doctorate,High_School,Masters,Affordability_Score,Bachelor_Rate,Opportunity_Score
Alabama,5157699,2447875,2344294,103581,95.77,4.23,66659,233300,637543,51280,870724,304002,28.57,12.36,59102.6
Alaska,740133,363709,342028,21681,94.04,5.96,95665,376500,97736,7132,118875,44758,25.41,13.21,70441.0
Arizona,7582384,3778884,3606425,172459,95.44,4.56,81486,426000,1101882,86023,1019002,522445,19.13,14.53,65585.4
Arkansas,3088354,1454780,1399240,55540,96.18,3.82,62106,215600,359274,22866,575871,155632,28.81,11.63,57185.4
California,39431263,20454381,19240700,1213681,94.07,5.93,100149,759500,6355683,554953,4924307,2806213,13.19,16.12,73116.6
Colorado,5957494,3324268,3182088,142180,95.72,4.28,97113,574600,1220986,97524,638498,578824,16.9,20.49,73708.2
Connecticut,3675069,2002571,1903478,99093,95.05,4.95,96049,396900,606446,52971,571296,364532,24.2,16.5,71884.6
Delaware,1051917,535706,508349,27357,94.89,5.11,87534,371600,149179,16312,188812,88622,23.56,14.18,67734.6
District of Columbia,702250,412234,389016,23218,94.37,5.63,109707,733400,136032,25770,58173,117157,14.96,19.37,78004.8
Florida,23372215,11737686,11202980,534706,95.44,4.56,77735,396900,3758332,269560,3784322,1606690,19.59,16.08,64550.0
Georgia,11180878,5732629,5463559,269070,95.31,4.69,79991,343300,1634708,131947,1644200,802012,23.3,14.62,64975.4
Hawaii,1446146,710160,686176,23984,96.62,3.38,100745,875900,247446,17134,251902,96888,11.5,17.11,74417.0
Idaho,2001619,1002640,965244,37396,96.27,3.73,81166,446400,291509,19522,288550,105292,18.18,14.56,65715.4
Illinois,12710158,6762041,6415320,346721,94.87,5.13,83211,280700,2063361,164841,1851978,1030836,29.64,16.23,66614.4
Indiana,6924275,3551668,3406179,145489,95.9,4.1,71959,243500,911752,63614,1251302,385586,29.55,13.17,61504.6
Iowa,3241488,1729153,1674133,55020,96.82,3.18,75501,227300,463288,35211,550389,168924,33.22,14.29,63533.4
Kansas,2970606,1554434,1497364,57070,96.33,3.67,75514,238700,445103,30724,420752,202588,31.64,14.98,63598.6
Kentucky,4588372,2209971,2102332,107639,95.13,4.87,64526,226000,508117,36767,819611,266868,28.55,11.07,57670.4
Louisiana,4597740,2176191,2064084,112107,94.85,5.15,60986,223200,539030,38890,856860,224002,27.32,11.72,56365.4
Maine,1405012,733781,713799,19982,97.28,2.72,76442,341900,236042,20359,259140,108341,22.36,16.8,64800.8
Maryland,6263220,3397200,3249570,147630,95.65,4.35,102905,436300,1010731,137771,878429,662921,23.59,16.14,74699.0
Massachusetts,7136171,3994387,3831790,162597,95.93,4.07,104828,607400,1305232,175905,976401,797313,17.26,18.29,76197.2
Michigan,10140459,5109095,4879201,229894,95.5,4.5,72389,254200,1436450,103580,1679558,684375,28.48,14.17,61856.6
Minnesota,5793151,3174343,3056310,118033,96.28,3.72,87117,344600,1036960,68184,791299,393387,25.28,17.9,69100.8
Mississippi,2943045,1377664,1314226,63438,95.4,4.6,59127,186500,323161,29725,451538,149384,31.7,10.98,55564.8
Missouri,6245466,3185720,3082178,103542,96.75,3.25,71589,254400,866234,74907,1080683,414880,28.14,13.87,61821.6
Montana,1137233,589412,571950,17462,97.04,2.96,75340,425400,195240,11420,174041,68347,17.71,17.17,64399.0
Nebraska,2005466,1081853,1045068,36785,96.6,3.4,76376,263100,296206,21780,291013,124747,29.03,14.77,63961.4
Nevada,3267467,1705372,1598223,107149,93.72,6.28,81134,455500,427382,27030,545391,157385,17.81,13.08,64493.6
New Hampshire,1409032,791352,769380,21972,97.22,2.78,99782,458800,258359,18680,233635,130535,21.75,18.34,74580.8
New Jersey,9500851,5145349,4867170,278179,94.59,5.41,104294,496000,1756497,129778,1456905,895372,21.03,18.49,75641.6
New Mexico,2130256,1007957,954860,53097,94.73,5.27,67816,279900,264524,34712,317475,144596,24.23,12.42,59271.4
New York,19867248,10284583,9737212,547371,94.68,5.32,85820,449800,3224981,264555,2831196,1875385,19.08,16.23,67601.0
North Carolina,11046024,5592551,5369487,223064,96.01,3.99,73958,333000,1729048,140002,1574471,814143,22.21,15.65,63081.2
North Dakota,796568,427335,419172,8163,98.09,1.91,77871,266100,124671,7301,107853,37611,29.26,15.65,65270.4
Ohio,11883304,6098736,5855326,243410,96.01,3.99,72212,239800,1638320,123145,2264424,760646,30.11,13.79,61824.8
Oklahoma,4095393,1976114,1883561,92553,95.32,4.68,66148,222100,513525,31133,697897,206392,29.78,12.54,58817.2
Oregon,4272371,2231984,2123643,108341,95.15,4.85,85220,497500,707302,58000,559079,324833,17.13,16.56,67601.0
Pennsylvania,13078751,6802567,6506979,295588,95.65,4.35,77545,277600,1974602,186694,2642997,991155,27.93,15.1,64243.0
Rhode Island,1112308,610041,579286,30755,94.96,5.04,83504,455700,179725,15903,180582,94336,18.32,16.16,66737.6
South Carolina,5478831,2700129,2578529,121600,95.5,4.5,72350,299500,777135,55760,886474,371238,24.16,14.18,61844.0
South Dakota,924669,494515,480631,13884,97.19,2.81,76881,289600,143172,10544,149650,48476,26.55,15.48,64553.4
Tennessee,7227750,3680703,3525120,155583,95.77,4.23,71997,332600,1000016,82444,1262444,434694,21.65,13.84,61681.8
Texas,31290831,16034699,15259450,775249,95.17,4.83,79721,313200,4546698,308724,4091269,1985059,25.45,14.53,64798.4
Utah,3503613,1868725,1798140,70585,96.22,3.78,96658,545200,548027,36750,411937,217680,17.73,15.64,72221.2
Vermont,648493,358176,348622,9554,97.33,2.67,82730,352800,122734,12162,110139,64348,23.45,18.93,67970.0
Virginia,8811195,4546485,4381889,164596,96.38,3.62,92090,403500,1475874,137564,1220153,875633,22.82,16.75,70775.0
Washington,7958180,4167685,3964612,203073,95.13,4.87,99389,602200,1372926,113323,975478,683345,16.5,17.25,73469.6
West Virginia,1769979,804058,766794,37264,95.37,4.63,60798,170800,187714,13183,420214,88027,35.6,10.61,56113.2
Wisconsin,5960975,3187642,3090398,97244,96.95,3.05,77488,294700,943201,61628,1057997,362471,26.29,15.82,64826.2
Wyoming,587618,307647,297101,10546,96.57,3.43,75532,339500,82918,8475,90634,35122,22.25,14.11,63416.8
Puerto Rico,3203295,1325458,1213487,111971,91.55,8.45,27213,142100,506436,32445,622833,151031,19.15,15.81,43093.2
