State,Population,Median_Income,Employment_Rate,Bachelor_Rate,Opportunity_Score
"District of Columbia",702250,109707,94.37,19.37,78004.8
Massachusetts,7136171,104828,95.93,18.29,76197.2
"New Jersey",9500851,104294,94.59,18.49,75641.6
Maryland,6263220,102905,95.65,16.14,74699
"New Hampshire",1409032,99782,97.22,18.34,74580.8
Hawaii,1446146,100745,96.62,17.11,74417
Colorado,5957494,97113,95.72,20.49,73708.2
Washington,7958180,99389,95.13,17.25,73469.6
California,39431263,100149,94.07,16.12,73116.6
Utah,3503613,96658,96.22,15.64,72221.2
