State,Median_Income,Income_Difference
"District of Columbia",109707,29282.6538
Massachusetts,104828,24403.6538
"New Jersey",104294,23869.6538
Maryland,102905,22480.6538
Hawaii,100745,20320.6538
California,100149,19724.6538
"New Hampshire",99782,19357.6538
Washington,99389,18964.6538
Colorado,97113,16688.6538
Utah,96658,16233.6538
Connecticut,96049,15624.6538
Alaska,95665,15240.6538
Virginia,92090,11665.6538
Delaware,87534,7109.6538
Minnesota,87117,6692.6538
"New York",85820,5395.6538
Oregon,85220,4795.6538
"Rhode Island",83504,3079.6538
Illinois,83211,2786.6538
Vermont,82730,2305.6538
Arizona,81486,1061.6538
Idaho,81166,741.6538
Nevada,81134,709.6538
Georgia,79991,-433.3462
Texas,79721,-703.3462
"North Dakota",77871,-2553.3462
Florida,77735,-2689.3462
Pennsylvania,77545,-2879.3462
Wisconsin,77488,-2936.3462
"South Dakota",76881,-3543.3462
Maine,76442,-3982.3462
Nebraska,76376,-4048.3462
Wyoming,75532,-4892.3462
Kansas,75514,-4910.3462
Iowa,75501,-4923.3462
Montana,75340,-5084.3462
"North Carolina",73958,-6466.3462
Michigan,72389,-8035.3462
"South Carolina",72350,-8074.3462
Ohio,72212,-8212.3462
Tennessee,71997,-8427.3462
Indiana,71959,-8465.3462
Missouri,71589,-8835.3462
"New Mexico",67816,-12608.3462
Alabama,66659,-13765.3462
Oklahoma,66148,-14276.3462
Kentucky,64526,-15898.3462
Arkansas,62106,-18318.3462
Louisiana,60986,-19438.3462
"West Virginia",60798,-19626.3462
Mississippi,59127,-21297.3462
"Puerto Rico",27213,-53211.3462
