State,Median_Income,Median_Home_Value,Opportunity_Score
"New Jersey",104294,496000,75641.6
Maryland,102905,436300,74699
"New Hampshire",99782,458800,74580.8
Connecticut,96049,396900,71884.6
Virginia,92090,403500,70775
Alaska,95665,376500,70441
Minnesota,87117,344600,69100.8
Vermont,82730,352800,67970
Delaware,87534,371600,67734.6
Illinois,83211,280700,66614.4
"North Dakota",77871,266100,65270.4
Georgia,79991,343300,64975.4
Wisconsin,77488,294700,64826.2
Maine,76442,341900,64800.8
Texas,79721,313200,64798.4
"South Dakota",76881,289600,64553.4
Pennsylvania,77545,277600,64243
Nebraska,76376,263100,63961.4
Kansas,75514,238700,63598.6
Iowa,75501,227300,63533.4
Wyoming,75532,339500,63416.8
"North Carolina",73958,333000,63081.2
Michigan,72389,254200,61856.6
"South Carolina",72350,299500,61844
Ohio,72212,239800,61824.8
Missouri,71589,254400,61821.6
Tennessee,71997,332600,61681.8
Indiana,71959,243500,61504.6
"New Mexico",67816,279900,59271.4
Alabama,66659,233300,59102.6
Oklahoma,66148,222100,58817.2
Kentucky,64526,226000,57670.4
Arkansas,62106,215600,57185.4
Louisiana,60986,223200,56365.4
"West Virginia",60798,170800,56113.2
Mississippi,59127,186500,55564.8
