State,Expansion_Rank
"District of Columbia",1
Massachusetts,2
"New Jersey",3
Maryland,4
"New Hampshire",5
Hawaii,6
Colorado,7
Washington,8
California,9
Utah,10
Connecticut,11
Virginia,12
Alaska,13
Minnesota,14
Vermont,15
Delaware,16
"New York",17
Oregon,17
"Rhode Island",19
Illinois,20
Idaho,21
Arizona,22
"North Dakota",23
Georgia,24
Wisconsin,25
Maine,26
Texas,27
"South Dakota",28
Florida,29
Nevada,30
Montana,31
Pennsylvania,32
Nebraska,33
Kansas,34
Iowa,35
Wyoming,36
"North Carolina",37
Michigan,38
"South Carolina",39
Ohio,40
Missouri,41
Tennessee,42
Indiana,43
"New Mexico",44
Alabama,45
Oklahoma,46
Kentucky,47
Arkansas,48
Louisiana,49
"West Virginia",50
Mississippi,51
"Puerto Rico",52
